term,pos,notes,is_case_sensitive,translation_nl
Accelerometer,noun,A sensing device that measures a vehicle's acceleration.,TRUE,Snelheidsmeter
Accident Mitigation,noun,Actions taken to reduce the chances of an accident occurring.,FALSE,Ongevallenbeperking
Activate,verb,Enable a previously deactivated geofence to resume monitoring.,FALSE,
Active Devices Report,noun,A report that summarizes the list of devices that are active at the time of generating the report.,FALSE,Actieve Apparatenrapport
Active Usage,verb,"When the app is actively being used for its main functions, such as tracking the driver or scanning for nearby devices.",FALSE,
Active Vehicle Device Association Report,noun,A report that summarizes the list of vehicles that are active at the time of generating the report along with device association information. See Device Association.,FALSE,Associatierapport voor Actieve Voertuigapparatuur
Add Comment,verb,A feature that allows users to add additional information or responses to the issues listed in the device's Issues Tab.,FALSE,Reactie toevoegen
Add Drivers in Bulk,verb,"A process for entering and saving information for multiple drivers at once, using a bulk upload feature.",FALSE,Bestuurders in bulk toevoegen
Add Individual Driver,verb,A process for entering and saving information for a single driver in the system.,FALSE,Bestuurder individueel toevoegen
Add Notes,verb,A box where users can write detailed information about their feedback or issues.,FALSE,opmerkingen toevoegen
Add to Cart,verb,An option to select and store a video for further processing or downloading.,TRUE,In Winkelwagen
Add to Coaching,verb,The option to add an alert to a driver's coaching session for further review.,TRUE,Toevoegen aan Coaching
Advanced Driver Assistance Systems (ADAS),noun,Technology that helps drivers avoid accidents and improve safety while driving.,TRUE,Geavanceerde Bestuurders hulpsystemen (ADAS)
Advisory Alerts,noun,Alerts that provide recommendations for safer driving but do not indicate a violation.,FALSE,Waarschuwingen
After Lane Change Alert,verb,An alert triggered when a driver doesnâ€šÃ„Ã´t maintain a safe distance after changing lanes.,FALSE,Waarschuwing na rijstrookverandering
alert,verb,Real-time driving events captured by the Driverâ€šÃ„Â¢i device that provide visibility to driving behavior and incidents that may need quick action.,TRUE,waarschuwing
Alert / Event ID,verb,,FALSE,Waarschuwing/gebeurtenis-id
Alert Banner,noun,"Displays the alert description (name, severity, caution), awarded DriverStars, vehicle speed, posted speed limit, and relative speed (REL) in a fleet management system.",FALSE,Waarschuwingsbanner
Alert Button,noun,A button on the Driverâ€šÃ„Â¢i device used to trigger a Driver Initiated Alert.,FALSE,Waarschuwingsknop
Alert Card,noun,"A visual representation of a driver's alert within the system, showing whether an alert has been fully or partially viewed by the driver..",FALSE,Waarschuwingskaart
Alert Cause,noun,The specific reason or situation that triggered an alert.,TRUE,Waarschuwingsoorzaak
Alert Conversion Report,noun,A report that summarizes the Alerts that are converted to DriverStars or Neutral Events. See DriverStars and Neutral Events.,FALSE,Waarschuwingsconversierapport
Alert Counts,noun,The total number of notifications or warnings generated due to events or issues.,FALSE,Aantal Waarschuwingen
Alert Duration,noun,"The length of time the alert was active, depending on specific filters applied to the alert.",FALSE,Waarschuwingsduur
Alert Feedback,noun,Comments or decisions made by safety managers after reviewing driver alerts.,FALSE,Feedback Waarschuwing
Alert Filter Panel,noun,A tool in fleet management systems that enables filtering alerts based on driver star ratings.,FALSE,Waarschuwingsfilterpaneel
Alert Frequency,noun,"The number of times a specific alert (e.g., speeding or distracted driving) occurs over a set period.",FALSE,Waarschuwingsfrequentie
Alert Geofence,noun,A tool to customize alert settings based on specific geographic areas.,FALSE,Waarschuwing Geofence
Alert Groups,verb,"Categories of alerts grouped based on the type of safety issues, helping to identify recurring safety problems",FALSE,Waarschuwingsgroepen
Alert icons,verb,Alert icons are small symbols used to represent specific types of driving-related alerts visually.,FALSE,Waarschuwingspictogrammen
Alert ID,verb,A unique identifier assigned to each alert for easy tracking and reference.,FALSE,Waarschuwings-id
Alert Id,verb,,FALSE,Waarschuwings-id
Alert List,verb,"A list of specific alerts that are eligible for review and coaching, configured by the manager.",FALSE,Waarschuwingslijst
Alert Map,verb,A visual representation showing alerts triggered by drivers over a selected period.,FALSE,Waarschuwingskaart
Alert Panel,verb,A section showing all the alerts included in a coaching session.,FALSE,Waarschuwingspaneel
Alert Preview Video,verb,"A short video preview related to the alert, allowing the driver or manager to see an example of the event that triggered the alert.",FALSE,Waarschuwingsvoorbeeld video
Alert Review,verb,The process of reviewing an alert to determine its validity. This process can be initiated by either the driver or safety manager.,FALSE,Waarschuwing
Alert Risk Profile,verb,A summary of safety risks associated with a fleet or driver based on alert data.,FALSE,Waarschuwingsrisicoprofiel
Alert Search Function,noun,"A tool within the system that allows users to filter and locate specific types of alerts based on criteria such as behavior, severity, or frequency.",FALSE,Waarschuwingszoekfunctie
Alert Severity Levels,verb,"A classification that indicates how serious or risky an alert is, guiding the priority of coaching required.",FALSE,Urgentieniveaus waarschuwingen
Alert Sub Type,verb,"A more specific classification within an alert type, providing further details (e.g., ""Severe"" or ""Minor"").",FALSE,Waarschuwingssubtype
Alert Subtype,verb,,FALSE,Waarschuwingssubtype
Alert Timestamp,verb,The Date and Time when the Alert was detected.,FALSE,Tijdstempel Waarschuwing
Alert Type,verb,"The category of an alert, such as speeding or distracted driving.",TRUE,Waarschuwingstype
Alert Video,verb,"A recording showing instances of alerts like hard acceleration, with a graph for analysis.",TRUE,Waarschuwingsvideo
Alert Video Fetch Algorithm,verb,"A process that determines which videos are shown, giving priority to high-severity alerts over lower-severity ones.",FALSE,Ophaalalgoritme voor Waarschuwingsvideo's
Alert Video Modal,verb,"A window in the player that shows driver details, video options, and other alert-related actions.",FALSE,Waarschuwing Videomodel
Alert Video Player,noun,"A tool to play recorded videos from various cameras, primarily used to review driving footage for training, evidence, and security purposes.",FALSE,Waarschuwingsvideospeler
Alert Video Throttling Algorithm,verb,"A system used to manage the display of alerts efficiently on the portal, ensuring only necessary information is shown.",FALSE,Waarschuwingsalgoritme voor het afsnijden van video's
Alert Videos,noun,"displays all the Alert Videos that have multiple camera views (Inward, Outward, Left, and Right).",TRUE,Waarschuwingsvideo's
Alerts,verb,,TRUE,Waarschuwingen
Alerts Before Collision,verb,Notifications triggered just before a collision to provide additional context.,TRUE,Botswaarschuwingen
Algorithm,verb,A set of rules or steps a computer follows to detect unsafe driving behaviors.,FALSE,
All Alerts Button,verb,A button that opens a list of all alerts generated by the driver.,TRUE,"Knop ""Alle Waarschuwingen"""
All Alerts Report,noun,â€šÃ„ÃºAll Alertsâ€šÃ„Ã¹ Report displays the complete list of Alerts for the Fleet for the selected duration and report configuration.,TRUE,"Rapport ""Alle Waarschuwingen"""
All Drivers Score Comparison,verb,A tab comparing the performance scores of all drivers to identify trends or outliers.,TRUE,"Scorevergelijking ""Alle Bestuurders"""
Altitude,verb,"The height of an object or point above a given reference, usually above sea level.",TRUE,hoogte
Analyzed Minutes,noun,The amount of driving time required to calculate GreenZone Scores.,TRUE,Geanalyseerde Minuten
Annotations,verb,"Notes or markers added to videos to highlight specific driving events or objects detected by the system, like vehicles or road signs.",TRUE,Annotaties
App Notifications,verb,Alerts shown within a mobile or desktop application.,FALSE,app-meldingen
Apply Filters,verb,A button to confirm and apply your selected filters to the events list.,FALSE,Filters Toepassen
Apr,noun,Month,FALSE,Apr
Assign and Associate Page,noun,A page where managers can assign drivers to trips or alerts that lack driver information.,FALSE,Toewijs- en Koppelingspagina
Assign Drive Time,noun,The process of linking a driver to unassigned drive times.,TRUE,Rijtijd Toewijzen
Assignment Pending,verb,Status shown when the driver assignment is being updated and has not yet taken effect.,TRUE,Opdracht in Behandeling
Attach an Image,verb,A feature that lets users upload pictures to help explain their feedback.,TRUE,Afbeelding Toevoegen
Attentiveness Streak,noun,Maintaining focus while driving consistently over time.,FALSE,Alertheid reeks
Attributes,verb,"Specific parameters like Driver Score or Green Minutes %, used for generating custom reports.",FALSE,
Audio Recording,verb,A feature that lets you record sounds inside the vehicle to provide extra details about driving events.,FALSE,
Audio Recording Configuration,noun,Settings that enable or disable audio recording for alert videos.,FALSE,Configuratie Audio-Opname
Aug,noun,,FALSE,Aug
Authentication,noun,A process to verify a user's identity using a username and password.,FALSE,Authenticatie
Auto Populated,verb,Information that is automatically filled in by the system based on the selected alert or vehicle.,FALSE,Auto ingevuld
Automated Coaching,noun,"A process where certain aspects of coaching are automated, such as sending alerts to drivers without requiring manual intervention.",FALSE,Geautomatiseerd coachen
Automated Coaching Session,noun,A session automatically created for a driver based on pre-configured alerts or recommendations.,FALSE,Geautomatiseerde coachingsessie
Automated Coaching Sessions,noun,"Training or feedback sessions that are automatically created based on the driverâ€šÃ„Ã´s performance, helping them improve their driving.",FALSE,Geautomatiseerde coachingsessies
Available on Request,verb,A status indicating that a video must be specifically requested before it can be viewed.,TRUE,Op Aanvraag Beschikbaar
Average Following Distance (AFD),noun,"The average amount of time it takes for a driver to reach the vehicle ahead, calculated over a set period.",TRUE,Gemiddelde Volgafstand (AFD)
Average GreenZone Score,noun,A higher GreenZone score indicates safe driving behavior.,FALSE,Gemiddelde GreenZone-Score
Backing||BACKING,noun,Generated when the vehicle goes in reverse at a high speed for more than the pre-defined duration.,TRUE,
Backing Alert,noun,A warning given when a vehicle reverses too fast for too long.,FALSE,
Bad Mount Alert,noun,A warning when the tracking device isnâ€šÃ„Ã´t securely attached to the vehicle.,FALSE,Waarschuwing Voor Slechte Montage
Barrier,verb,A physical gate or arm used to block traffic at a railroad crossing when a train is passing.,FALSE,
Base Alert,verb,A single type of alert that is not combined with any other alert.,FALSE,Basiswaarschuwing
Base Alerts,verb,"Alerts generated from fundamental driving behavior issues, such as speeding or distracted driving.",FALSE,Basiswaarschuwingen
Baseline,verb,"The reference level on the alert video graph, used to compare spikes during incidents like hard braking.",FALSE,Basislijn
Baseline (Graph),verb,The central line on the yellow trace graph; deviations above or below indicate left or right turns.,FALSE,Basislijn (grafiek)
Battery Health,verb,"The condition or performance level of the phone's battery, which can affect its ability to hold charge or its overall efficiency.",TRUE,Batterijstatus
Beacon,noun,,TRUE,Baken
Beacons,noun,"Wireless transmitters that use low-energy Bluetooth technology to send signals to other smart devices that are nearby, such as the Driverâ€šÃ„Â¢i Camera. Beacons are used to associate a Driver to the vehicle during their drive time.",TRUE,Bakens
Bearing,verb,The direction or path along which something moves or along which it is located.,FALSE,Lager
Beta Alert,verb,New alert that is under evaluation and can be used for coaching but does not impact GreenZone score.,FALSE,Beta-waarschuwing
Blind Spots,verb,Areas around a vehicle that the driver cannot see using mirrors.,TRUE,Dode Hoeken
Bluetooth,noun,"A wireless technology that allows the app to communicate with nearby devices, such as tracking the driver.",FALSE,Bluetooth
Bluetooth Permission,verb,A setting that allows the app to connect to devices using Bluetooth.,FALSE,Bluetooth-toestemming
Blur,verb,,FALSE,Vervagen
Bookmark,verb,The option to save an event for later reference or discussion.,FALSE,Bladwijzer
Bookmark an Event,verb,Mark an event as important to easily find and view it later.,FALSE,Een evenement opslaan als bladwijzer
Bookmarked Events,verb,Alerts marked as important for easy reference during coaching.,FALSE,Evenementen met bladwijzers
Bounding Box,verb,"Colored boxes (red, yellow, or green) seen in video annotations, showing the following distance.",FALSE,Begrenzende box
Braking Intensity,noun,"How hard the brakes are applied, measured in G-force.",FALSE,Remintensiteit
Browser Notifications,verb,Alerts shown directly on your web browser.,FALSE,
Bulk Edit Driver,noun,"A feature that allows users to update details for multiple drivers at once, rather than editing each driver individually.",FALSE,
Bulk Upload,verb,Adding multiple geofences at once using a pre-filled CSV file.,FALSE,
Camera Configuration,noun,"Camera configuration settings that are applicable at the Fleet level. Fleets can enable or disable the left, right, and inward cameras on the D-410 device and inward camera on the D-210 device. Additional cameras can be configured if the user has Driverâ€šÃ„Â¢i Hubx.",TRUE,Cameraconfiguratie
Camera Obstruction,noun,,TRUE,Camera-Obstructie
Camera Views,verb,"Different perspectives (e.g., outward, inward, left, right) available for reviewing recorded videos.",FALSE,cameraweergaven
Camera-Obstruction,noun,,TRUE,Camera-Obstructie
CAN Connection Issues,verb,"Problems in connecting devices to a vehicle's CAN bus, preventing data reading. Some issues may resolve automatically, while others require customer action or Netradyne support.",FALSE,
CAN Connectivity,noun,A system ensuring proper connection between vehicle components and the Driver.i device to meet compliance requirements.,FALSE,
Canadian French,noun,Language,FALSE,
Card View,verb,A detailed summary of driver alerts displayed in an organized card format.,FALSE,Kaartweergave
Cards,verb,Visual sections on the dashboard summarizing specific information and providing access to detailed data.,FALSE,
Cargo Tanker,noun,"A large truck designed to transport liquids or gases, such as gasoline, which can carry hazardous materials.",FALSE,
Cart,verb,A section where selected videos are stored temporarily before completing a request.,FALSE,
Cause,verb,"The reason behind an alert being triggered, such as a violation or unsafe behavior.",FALSE,
Checkpoint,verb,A progress milestone in a streak that tracks safe driving for a set amount of time.,FALSE,checkpoint
Chronological Order,noun,"Arranged in the sequence of time, showing events from the earliest to the latest.",FALSE,chronologische volgorde
